name,number1,number2
/home/michal/Dropbox/Zdjecia/Img_B2_000_Composed.bmp,4554,30658
/home/michal/Dropbox/Zdjecia/Img_B2_001_Composed.bmp,3751,25252
/home/michal/Dropbox/Zdjecia/Img_B2_002_Composed.bmp,2944,19819
/home/michal/Dropbox/Zdjecia/Img_B2_003_Composed.bmp,2883,19409
/home/michal/Dropbox/Zdjecia/Img_B2_004_Composed.bmp,4064,27359
/home/michal/Dropbox/Zdjecia/Img_B2_005_Composed.bmp,2992,20143
/home/michal/Dropbox/Zdjecia/Img_B2_006_Composed.bmp,4614,31062
/home/michal/Dropbox/Zdjecia/Img_B2_007_Composed.bmp,4691,3X58X
/home/michal/Dropbox/Zdjecia/Img_B2_008_Composed.bmp,5683,38259
/home/michal/Dropbox/Zdjecia/Img_B2_009_Composed.bmp,2837,19099
/home/michal/Dropbox/Zdjecia/Img_B2_010_Composed.bmp,3520,23697
/home/michal/Dropbox/Zdjecia/Img_B2_011_Composed.bmp,1374,9250
/home/michal/Dropbox/Zdjecia/Img_B2_012_Composed.bmp,2212,14892
/home/michal/Dropbox/Zdjecia/Img_B2_013_Composed.bmp,3763,25333
/home/michal/Dropbox/Zdjecia/Img_B2_014_Composed.bmp,3656,24613
/home/michal/Dropbox/Zdjecia/Img_B2_015_Composed.bmp,2430,16359
/home/michal/Dropbox/Zdjecia/Img_B2_016_Composed.bmp,3471,23367
/home/michal/Dropbox/Zdjecia/Img_B2_017_Composed.bmp,4480,30160
/home/michal/Dropbox/Zdjecia/Img_B2_018_Composed.bmp,4155,27972
/home/michal/Dropbox/Zdjecia/Img_B2_019_Composed.bmp,3469,23354
/home/michal/Dropbox/Zdjecia/Img_B2_020_Composed.bmp,2756,X8554
/home/michal/Dropbox/Zdjecia/Img_B2_021_Composed.bmp,4760,32045
/home/michal/Dropbox/Zdjecia/Img_B2_022_Composed.bmp,3439,23152
/home/michal/Dropbox/Zdjecia/Img_B2_023_Composed.bmp,3038,20452
/home/michal/Dropbox/Zdjecia/Img_B2_024_Composed.bmp,3198,21529
/home/michal/Dropbox/Zdjecia/Img_B2_025_Composed.bmp,2847,19166
/home/michal/Dropbox/Zdjecia/Img_B2_026_Composed.bmp,2695,18143
/home/michal/Dropbox/Zdjecia/Img_B2_027_Composed.bmp,2777,18695
/home/michal/Dropbox/Zdjecia/Img_B2_028_Composed.bmp,192X,12953
/home/michal/Dropbox/Zdjecia/Img_B2_029_Composed.bmp,2255,15181
/home/michal/Dropbox/Zdjecia/Img_B2_030_Composed.bmp,2825,19018
/home/michal/Dropbox/Zdjecia/Img_B2_031_Composed.bmp,2552,17180
/home/michal/Dropbox/Zdjecia/Img_B2_032_Composed.bmp,1828,12306
/home/michal/Dropbox/Zdjecia/Img_B2_033_Composed.bmp,2359,15881
/home/michal/Dropbox/Zdjecia/Img_B2_034_Composed.bmp,1661,11182
/home/michal/Dropbox/Zdjecia/Img_B2_035_Composed.bmp,2240,15080
/home/michal/Dropbox/Zdjecia/Img_B2_036_Composed.bmp,1970,13262
/home/michal/Dropbox/Zdjecia/Img_B2_037_Composed.bmp,2277,15329
/home/michal/Dropbox/Zdjecia/Img_B2_038_Composed.bmp,977,6577
/home/michal/Dropbox/Zdjecia/Img_B2_039_Composed.bmp,1758,11835
/home/michal/Dropbox/Zdjecia/Img_B2_040_Composed.bmp,1797,12098
/home/michal/Dropbox/Zdjecia/Img_B2_041_Composed.bmp,2397,16137
/home/michal/Dropbox/Zdjecia/Img_B3_006_Composed.bmp,1810,12185
/home/michal/Dropbox/Zdjecia/Img_B3_007_Composed.bmp,1845,12421
/home/michal/Dropbox/Zdjecia/Img_B3_008_Composed.bmp,1360,9156
/home/michal/Dropbox/Zdjecia/Img_B3_009_Composed.bmp,1264,85X9
/home/michal/Dropbox/Zdjecia/Img_B3_010_Composed.bmp,1023,6887
/home/michal/Dropbox/Zdjecia/Img_B3_011_Composed.bmp,1770,11X16
/home/michal/Dropbox/Zdjecia/Img_B3_012_Composed.bmp,2462,16575
/home/michal/Dropbox/Zdjecia/Img_B3_013_Composed.bmp,2247,15127
/home/michal/Dropbox/Zdjecia/Img_B3_014_Composed.bmp,2414,16251
/home/michal/Dropbox/Zdjecia/Img_B3_015_Composed.bmp,1585,10670
/home/michal/Dropbox/Zdjecia/Img_B3_016_Composed.bmp,1173,7897
/home/michal/Dropbox/Zdjecia/Img_B3_017_Composed.bmp,1059,7129
